dataset,noise,detector,quality,seed,B,estimator,auc_global,auc_primary,delta_point,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_entirely_above_chance,ci_entirely_below_chance,n_valid_bootstrap,n_failed_overlap,coverage_primary,coverage_bootstrap_mean,n_pairs_primary,n_pairs_bootstrap_mean,common_support_lo,common_support_hi,caliper_point,eligible_global_above_chance
cifar100,symmetric0.2,aum,dino_density,5,1000,pipeline_primary_matching_rule,0.7163424983550438,0.742655014565127,-0.026312516210083126,0.7076121155435163,0.743894226436893,-0.03254532511428847,-0.006846433022486559,True,False,1000,0,0.8126471577531114,0.9957191666666667,36045,5967.464,0.04581584649883221,0.9799874396407446,0.015903600165158734,True
cifar100,symmetric0.2,neighbor,dino_density,5,1000,pipeline_primary_matching_rule,0.8315260341947353,0.8295741434318213,0.0019518907629139104,0.8170717932706435,0.8469283775028814,-0.0025399584817567336,0.01055840857665532,True,False,1000,0,0.8126471577531114,0.9959349999999999,36045,5969.117,0.04581584649883221,0.9799874396407446,0.015903600165158734,True
cifar100,symmetric0.2,confident_learning,dino_density,5,1000,pipeline_primary_matching_rule,0.8148496836012656,0.8117353308364544,0.0031143527648112013,0.8032081582588962,0.8327218854035479,-0.008599492820532179,0.009330492684251245,True,False,1000,0,0.8126471577531114,0.9958374999999999,36045,5968.019,0.04581584649883221,0.9799874396407446,0.015903600165158734,True
cifar100,symmetric0.2,combined,dino_density,1,1000,pipeline_primary_matching_rule,0.6938861599780699,0.6798748407819681,0.014011319196101768,0.6700286767145924,0.7061873636657474,0.001570212573327238,0.02321637373147677,True,False,1000,0,0.8194334725200316,0.99586,36114,5968.899,0.020018315059305004,0.9914393493921108,0.015591387592464097,True
cifar100,symmetric0.2,ema_loss,dino_density,1,1000,pipeline_primary_matching_rule,0.8065064684805089,0.8024865703051448,0.004019898175364078,0.7933854253426696,0.8233337415491194,-0.005922351296532725,0.012484106376223016,True,False,1000,0,0.8194334725200316,0.9959216666666667,36114,5969.322,0.020018315059305004,0.9914393493921108,0.015591387592464097,True
cifar100,symmetric0.2,confidence,dino_density,1,1000,pipeline_primary_matching_rule,0.7372749639796128,0.7383701611563382,-0.0010951971767254598,0.7276803972828794,0.76194763070778,-0.010009823752331169,0.009954265930565066,True,False,1000,0,0.8194334725200316,0.9957008333333334,36114,5967.716,0.020018315059305004,0.9914393493921108,0.015591387592464097,True
cifar100,symmetric0.2,aum,dino_density,1,1000,pipeline_primary_matching_rule,0.7128456797140262,0.7382317106939137,-0.025386030979887453,0.7259600435061212,0.7587162962330095,-0.039429531889271605,-0.015075143818335798,True,False,1000,0,0.8194334725200316,0.99597,36114,5969.402,0.020018315059305004,0.9914393493921108,0.015591387592464097,True
cifar100,symmetric0.2,neighbor,dino_density,1,1000,pipeline_primary_matching_rule,0.833986182374947,0.8285291022872017,0.00545708008774537,0.816148525849581,0.8464207049557331,0.000417135251800605,0.013856446894535478,True,False,1000,0,0.8194334725200316,0.9958775000000001,36114,5968.991,0.020018315059305004,0.9914393493921108,0.015591387592464097,True
cifar100,symmetric0.2,confident_learning,dino_density,1,1000,pipeline_primary_matching_rule,0.8183939168481436,0.8167192778423881,0.001674639005755485,0.8106568364611261,0.8392777148671526,-0.00782243818167469,0.01034521877874821,True,False,1000,0,0.8194334725200316,0.9959125,36114,5969.042,0.020018315059305004,0.9914393493921108,0.015591387592464097,True
cifar100,symmetric0.2,combined,dino_density,8,1000,pipeline_primary_matching_rule,0.6944494163249937,0.6834396146027679,0.011009801722225765,0.673305291430089,0.7117052440343793,-0.01018645466936856,0.014231876701335442,True,False,1000,0,0.7971765743906474,0.98729,35911,5909.443,0.06624553426311021,0.991588161481512,0.015538340768222247,True
